OA11CD,Ward11CD,Ward11NM,LAD11CD,LAD11NM,Inner_Outer
E00000001,E05000001,Aldersgate,E09000001,City of London,Inner London
E00000003,E05000001,Aldersgate,E09000001,City of London,Inner London
E00000005,E05000001,Aldersgate,E09000001,City of London,Inner London
E00000007,E05000001,Aldersgate,E09000001,City of London,Inner London
E00000010,E05000015,Cripplegate,E09000001,City of London,Inner London
E00000012,E05000015,Cripplegate,E09000001,City of London,Inner London
E00000013,E05000015,Cripplegate,E09000001,City of London,Inner London
E00000014,E05000015,Cripplegate,E09000001,City of London,Inner London
E00000016,E05000015,Cripplegate,E09000001,City of London,Inner London
E00000017,E05000015,Cripplegate,E09000001,City of London,Inner London
E00000018,E05000015,Cripplegate,E09000001,City of London,Inner London
E00000019,E05000015,Cripplegate,E09000001,City of London,Inner London
E00000020,E05000015,Cripplegate,E09000001,City of London,Inner London
E00000021,E05000015,Cripplegate,E09000001,City of London,Inner London
E00000022,E05000015,Cripplegate,E09000001,City of London,Inner London
E00000023,E05000015,Cripplegate,E09000001,City of London,Inner London
E00000024,E05000024,Vintry,E09000001,City of London,Inner London
E00000025,E05000017,Farringdon Within,E09000001,City of London,Inner London
E00000026,E05000017,Farringdon Within,E09000001,City of London,Inner London
E00000027,E05000017,Farringdon Within,E09000001,City of London,Inner London
E00000028,E05000017,Farringdon Within,E09000001,City of London,Inner London
E00000029,E05000021,Portsoken,E09000001,City of London,Inner London
E00000030,E05000021,Portsoken,E09000001,City of London,Inner London
E00000031,E05000021,Portsoken,E09000001,City of London,Inner London
E00000032,E05000021,Portsoken,E09000001,City of London,Inner London
E00000035,E05000024,Vintry,E09000001,City of London,Inner London
E00166755,E05000024,Vintry,E09000001,City of London,Inner London
E00166756,E05000001,Aldersgate,E09000001,City of London,Inner London
E00166757,E05000024,Vintry,E09000001,City of London,Inner London
E00166758,E05000001,Aldersgate,E09000001,City of London,Inner London
E00166759,E05000015,Cripplegate,E09000001,City of London,Inner London
E00000137,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000138,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000139,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000140,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000141,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000142,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000143,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000144,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000145,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000147,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000148,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000156,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000157,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000158,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
E00000159,E05000029,Chadwell Heath,E09000002,Barking and Dagenham,Outer London
